Nome                                   	Criação                     	Modificação                 	Localização
exceptions.py                          	08/07/2023 - 00:40:45:373628	08/07/2023 - 00:41:49:899506	C:\Users\Windows\IdeaProjects\Buscador de Arquivos\exceptions.py
finder.py                              	07/07/2023 - 17:10:51:619393	08/07/2023 - 15:43:22:720977	C:\Users\Windows\IdeaProjects\Buscador de Arquivos\finder.py
utils.py                               	07/07/2023 - 21:06:28:691492	08/07/2023 - 15:26:49:667524	C:\Users\Windows\IdeaProjects\Buscador de Arquivos\utils.py
six.py                                 	07/07/2023 - 17:03:49:835769	07/07/2023 - 17:03:49:836769	C:\Users\Windows\IdeaProjects\Buscador de Arquivos\venv\Lib\site-packages\six.py
converters.py                          	07/07/2023 - 17:03:57:902815	07/07/2023 - 17:03:57:903814	C:\Users\Windows\IdeaProjects\Buscador de Arquivos\venv\Lib\site-packages\attr\converters.py
exceptions.py                          	07/07/2023 - 17:03:57:906813	07/07/2023 - 17:03:57:907811	C:\Users\Windows\IdeaProjects\Buscador de Arquivos\venv\Lib\site-packages\attr\exceptions.py
filters.py                             	07/07/2023 - 17:03:57:910810	07/07/2023 - 17:03:57:911809	C:\Users\Windows\IdeaProjects\Buscador de Arquivos\venv\Lib\site-packages\attr\filters.py
setters.py                             	07/07/2023 - 17:03:57:916816	07/07/2023 - 17:03:57:917813	C:\Users\Windows\IdeaProjects\Buscador de Arquivos\venv\Lib\site-packages\attr\setters.py
validators.py                          	07/07/2023 - 17:03:57:921478	07/07/2023 - 17:03:57:921478	C:\Users\Windows\IdeaProjects\Buscador de Arquivos\venv\Lib\site-packages\attr\validators.py
_cmp.py                                	07/07/2023 - 17:03:57:882073	07/07/2023 - 17:03:57:882073	C:\Users\Windows\IdeaProjects\Buscador de Arquivos\venv\Lib\site-packages\attr\_cmp.py
_compat.py                             	07/07/2023 - 17:03:57:885789	07/07/2023 - 17:03:57:886786	C:\Users\Windows\IdeaProjects\Buscador de Arquivos\venv\Lib\site-packages\attr\_compat.py
_config.py                             	07/07/2023 - 17:03:57:888787	07/07/2023 - 17:03:57:888787	C:\Users\Windows\IdeaProjects\Buscador de Arquivos\venv\Lib\site-packages\attr\_config.py
_funcs.py                              	07/07/2023 - 17:03:57:889786	07/07/2023 - 17:03:57:890816	C:\Users\Windows\IdeaProjects\Buscador de Arquivos\venv\Lib\site-packages\attr\_funcs.py
_make.py                               	07/07/2023 - 17:03:57:892821	07/07/2023 - 17:03:57:893820	C:\Users\Windows\IdeaProjects\Buscador de Arquivos\venv\Lib\site-packages\attr\_make.py
